ID,Crop,Year,Month,Sample_Day,Sample_ID,Plot,Treatment,Temp,Soil_Moisture,ON,OFF,Flux_N2O,Mean_N2O,SD_N2O,Flux_CO2,Mean_CO2,SD_CO2,Flux_NH3,Mean_NH3,SD_NH3,Flux_CH4,Mean_CH4,SD_CH4
1,TWG,2019,5,3,1,9,cyano,10.6,NA,1223,1214,0.028602135361130196,0.33064039622492736,0.005008147691518271,1.0279854952160534,467.43991996791283,50.30438948091163,55.33995265652485,13.20797803050753,2.7340717086142403,-0.19654062516423987,1.9018860185886393,0.009853152946226622
2,TWG,2019,5,3,1,8,urea,10.4,NA,1239,1229,0.00695955779525349,0.32869360384728913,0.005685863323579917,1.619195631729445,528.5820611903252,85.50214041591028,32.965883916588865,18.660671447675902,2.289029256360924,-0.16789993919108645,1.8774411964628916,0.009457665985038423
3,TWG,2019,5,3,1,7,control,12.4,NA,1251,1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,TWG,2019,5,3,1,4,urea,8.8,NA,1319,1309,0.026845728735492885,0.32433657978252173,0.005301193373395021,1.4828488704254343,520.4907305270683,75.8695149178492,27.369149361392495,13.272417477307577,1.5045114357451699,-0.28857573888510474,1.8903559415340372,0.015043967110592894
5,TWG,2019,5,3,1,5,control,10.2,NA,1332,1322,1.1751717549012607e-4,0.32656725935463543,0.005215313379333072,1.4030646953562136,494.31752570308595,71.01837800542057,30.457054986553814,13.799649995579037,1.6674098342054182,-0.13471476100685603,1.8836726230609375,0.008441707540108942
6,TWG,2019,5,3,1,6,cyano,11.5,NA,1344,1334,0.023846297947014684,0.3285298564673935,0.0048921274519813755,1.3683323413210442,499.5168707989032,68.43069968753872,24.009773740653166,12.161443979011096,1.429586670181582,-0.21350845693020265,1.8797724065273549,0.011397944634657181
7,TWG,2019,5,3,1,3,control,14.4,NA,1401,1392,0.01520936258345899,0.3293342983267677,0.0052208086931253275,1.3624139021980721,504.3305106572727,70.0836743660722,34.01870106754343,10.653288930125001,1.8043399847508215,-0.21834416836476,1.8756945574094697,0.012098312598227162
8,TWG,2019,5,3,1,2,urea,16.9,NA,1416,1426,-0.005596446408440162,0.32617130072789857,0.0047143565429693226,1.675168829044688,538.0433639653623,90.51645706963109,30.48602545748944,12.193587281705677,1.8470819690694362,-0.2010239585755436,1.8784095934836957,0.01136962250502305
9,TWG,2019,5,3,1,1,cyano,14.5,NA,1427,1417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,TWG,2019,5,10,2,10,control,12.3,NA,1123,1135,0.008983527245274327,0.3304813059770109,0.004152966954822863,0.7378913622244662,483.1423450594411,39.33052676472831,11.613809012177377,7.5660953281754555,0.67654111332087,-0.1887727033350337,1.910593671046294,0.01087475502381028
11,TWG,2019,5,10,2,11,cyano,12.3,NA,1134,1147,-0.010824092629064419,0.3268730050126247,0.005401062640232043,1.4814845475637135,501.80640116440946,72.74401032236912,12.067400816346941,8.622278767935564,0.7067802506977738,-0.19804950262936688,1.8993736325255905,0.010206824828828431
12,TWG,2019,5,10,2,12,urea,11.9,NA,1145,1159,0.028678361298343284,0.3279735937327657,0.005879184883884825,1.3392158287284628,486.1208709436876,68.17525732074346,14.541463178294789,9.083110839362613,0.834513866922868,-0.1880663583323494,1.897717063353393,0.010153692132589412
13,TWG,2019,5,10,2,13,control,12.4,NA,1202,1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,TWG,2019,5,10,2,14,cyano,13.4,NA,1216,1226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,TWG,2019,5,10,2,15,urea,14.1,NA,1230,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,TWG,2019,5,10,2,3,control,15.9,NA,1243,1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,TWG,2019,5,10,2,2,urea,17.1,NA,1259,1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,TWG,2019,5,15,3,4,urea,21.7,NA,1028,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
